length,tasks,computed braids,braids,geodesics
2,7,6,26,30
3,19,18,98,142
4,55,56,338,646
5,133,167,1110,2870
6,329,576,3542,12558
7,651,1616,11098,54026
8,1402,5434,34362,229338
9,2340,14798,105546,963570
10,4552,49995,322400,4016674
11,6769,134604,980904,16641454
12,12236,456559,2975728,68614150
13,16737,1219290,9007466,281799158
14,28626,4145761,27218486,1153638466
15,36805,11003225,82133734,4710108514
16,60305,37489061,247557852,19186676438
17,73916,99046693,745421660,78004083510
18,117027,338127862,2242595598,316591341866
19,138119,890076601,6741618346,1283041428650
20,212637,3043088975,20252254058,5193053664554
